nome,ruolo,ruolo_mantra,squadra,quotazione_iniziale,quotazione_attuale,fonte
Jaquez,D,Dc,STU,1,5,euroleghe
Maatsen,D,Ds;E,AVA,8,5,euroleghe
Jorgensen,P,Por,CHE,1,5,euroleghe
Fofana W.,D,Dc,CHE,3,5,euroleghe
Woodman,P,Por,LIV,1,5,euroleghe
Konatè I.,D,Dc,LIV,9,5,euroleghe
Gomez J.,D,Dd;Ds;Dc,LIV,1,5,euroleghe
McAtee*,C,W;T,MCI,5,5,euroleghe
Livramento,D,Dd;Ds;E,NEW,8,5,euroleghe
Vicario,P,Por,TOT,9,5,euroleghe
Fullkrug,A,Pc,MIL,7,5,euroleghe
Paredes A.,D,Dc,ATB,9,5,euroleghe
Vivian,D,Dc,ATB,8,5,euroleghe
Areso,D,Dd;E,ATB,5,5,euroleghe
Musso,P,Por,ATM,1,5,euroleghe
Gimenez J.,D,Dc,ATM,6,5,euroleghe
Casadò,C,M;C,FCB,3,5,euroleghe
Pau Lopez,P,Por,BET,2,5,euroleghe
Rodriguez R.,D,B;Ds;E,BET,4,5,euroleghe
Riquelme,C,W,BET,5,5,euroleghe
Avila,A,A,BET,1,5,euroleghe
Carvajal,D,Dd;E,MAD,7,5,euroleghe
Garcia F.,D,Ds;E,MAD,9,5,euroleghe
Navarro P.,D,Dd;Dc,VIL,4,5,euroleghe
Parejo,C,M;C,VIL,6,5,euroleghe
Kossounou,D,Dd;Dc,ATA,4,5,euroleghe
Fabbian,C,C;T,FIO,3,5,euroleghe
Ferguson,C,C;T,BOL,3,5,euroleghe
Pongracic,D,Dc,FIO,2,5,euroleghe
Ranieri L.,D,Ds;Dc,FIO,4,5,euroleghe
Martinez Jo.,P,Por,INT,2,5,euroleghe
Acerbi,D,Dc,INT,4,5,euroleghe
Pellegrini Lu.,D,Ds;E,LAZ,1,5,euroleghe
Dia,A,Pc,LAZ,9,5,euroleghe
Lucca*,A,Pc,NAP,5,5,euroleghe
Jashari,C,C,MIL,8,5,euroleghe
Partey,C,M;C,VIL,6,5,euroleghe
Vaz,A,Pc,ROM,5,5,euroleghe
Bamba A.,C,M;C,AMO,2,5,euroleghe
Oluwaseyi,A,Pc,VIL,4,5,euroleghe
Laporte,D,Dc,ATB,4,5,euroleghe
Rego,C,M;C,ATB,2,5,euroleghe
Ratkov,A,Pc,LAZ,8,5,euroleghe
Faes,D,Dc,AMO,4,5,euroleghe
Motta,P,Por,LAZ,1,5,euroleghe
Traorè A.,A,A,WHU,8,5,euroleghe
Fidalgo,C,C;T,BET,2,5,euroleghe
Perrin G.,C,W,LIL,3,5,euroleghe
Mukau,C,M;C,LIL,3,4,euroleghe
Zhegrova,C,W,JUV,10,4,euroleghe
Majecki*,P,Por,AMO,4,4,euroleghe
Kehrer,D,Dd;Dc,AMO,9,4,euroleghe
Mawissa,D,Ds;Dc,AMO,5,4,euroleghe
Medina,D,Ds;Dc,OLM,7,4,euroleghe
Marin Re.,P,Por,PSG,1,4,euroleghe
Tenas,P,Por,VIL,1,4,euroleghe
Pacho,D,Dc,PSG,9,4,euroleghe
Boey*,D,Dd;E,BAY,6,4,euroleghe
Amenda,D,Dc,SGE,1,4,euroleghe
Theate,D,Ds;Dc,SGE,8,4,euroleghe
Skhiri,C,M;C,SGE,5,4,euroleghe
Gotze,C,C;T,SGE,7,4,euroleghe
Wahi*,A,Pc,SGE,4,4,euroleghe
Bitshiabu,D,Dc,RBL,4,4,euroleghe
Vermeeren,C,M;C,OLM,3,4,euroleghe
Jeltsch,D,Dd;Dc,STU,2,4,euroleghe
Assignon,D,Dd;E,STU,9,4,euroleghe
Vagnoman,D,Dd;Ds;E,STU,8,4,euroleghe
Karazor,C,M;C,STU,7,4,euroleghe
Mosquera C.,D,Dd;Dc,ARS,3,4,euroleghe
White,D,Dd;Dc,ARS,6,4,euroleghe
Lewis-Skelly,D,Ds;E,ARS,9,4,euroleghe
Torres P.,D,Dc,AVA,6,4,euroleghe
Bailey,C,W;A,AVA,6,4,euroleghe
Veltman,D,B;Dd;E,BRH,3,4,euroleghe
Acheampong,D,Dd;Dc,CHE,1,4,euroleghe
Ait Nouri,D,Ds;E,MCI,8,4,euroleghe
Nico Gonzalez,C,M;C,MCI,7,4,euroleghe
Kovacic,C,C,MCI,7,4,euroleghe
De Ligt,D,Dc,MUN,9,4,euroleghe
Yoro,D,Dc,MUN,9,4,euroleghe
Mazraoui,D,B;Dd;E,MUN,8,4,euroleghe
Schar,D,Dc,NEW,8,4,euroleghe
Trippier,D,Dd;E,NEW,5,4,euroleghe
Romero,D,Dc,TOT,7,4,euroleghe
Udogie,D,Ds;E,TOT,10,4,euroleghe
Spence,D,Dd;Ds;E,TOT,7,4,euroleghe
Odobert,A,A,TOT,3,4,euroleghe
Areola,P,Por,WHU,6,4,euroleghe
Walker-Peters,D,Dd;Ds;E,WHU,7,4,euroleghe
Lenglet,D,Dc,ATM,9,4,euroleghe
Balde,D,Ds;E,FCB,10,4,euroleghe
Gomez V.,D,Dc,BET,2,4,euroleghe
Natan,D,Dc,BET,6,4,euroleghe
Deossa,C,C;T,BET,4,4,euroleghe
Hien,D,Dc,ATA,8,4,euroleghe
Ahanor,D,B;Ds;E,ATA,1,4,euroleghe
Bellanova,D,E,ATA,9,4,euroleghe
Ravaglia F.,P,Por,BOL,2,4,euroleghe
Vitik,D,Dc,BOL,4,4,euroleghe
De Silvestri,D,Dd;E,BOL,1,4,euroleghe
Comuzzo,D,Dc,FIO,4,4,euroleghe
Sohm,C,C,BOL,5,4,euroleghe
De Vrij,D,Dc,INT,4,4,euroleghe
Frattesi,C,C;T,INT,7,4,euroleghe
Gatti,D,Dc,JUV,4,4,euroleghe
Joao Mario,D,E,BOL,4,4,euroleghe
Koopmeiners,C,C;T,JUV,6,4,euroleghe
Patric,D,Dd;Dc,LAZ,2,4,euroleghe
Vecino*,C,M;C,LAZ,2,4,euroleghe
Dele-Bashiru,C,C;T,LAZ,4,4,euroleghe
Olivera,D,Ds;E,NAP,7,4,euroleghe
Mazzocchi,D,Dd;Ds;E,NAP,1,4,euroleghe
El Shaarawy,C,W,ROM,4,4,euroleghe
Heggem,D,Ds;Dc,BOL,2,4,euroleghe
Badè,D,Dc,B04,7,4,euroleghe
Potts,C,M;C,WHU,4,4,euroleghe
Diouf,C,C,INT,4,4,euroleghe
Idumbo,C,W;T,AMO,2,4,euroleghe
Fernandez Ez.,C,M;C,B04,5,4,euroleghe
Amrabat,C,M;C,BET,4,4,euroleghe
Coulibaly,C,M;C,AMO,4,4,euroleghe
Culbreath,C,W;A,B04,1,4,euroleghe
Gonzalez Alf.,A,A,VIL,2,4,euroleghe
Sarr Ma.,D,Dc,CHE,7,4,euroleghe
Nnadi,C,M;C,OLM,2,4,euroleghe
Mendoza,C,C;T,ATM,4,4,euroleghe
Pitarch,C,C,MAD,4,4,euroleghe
Tiago Santos,D,Dd;E,LIL,7,3,euroleghe
Cornelius D.*,D,Dc,OLM,3,3,euroleghe
Lirola*,D,B;Dd;E,OLM,3,3,euroleghe
Harit*,C,W;T,OLM,3,3,euroleghe
Ozcan,C,M;C,DOR,2,3,euroleghe
Reyna*,C,W;T,DOR,3,3,euroleghe
Aaronson P.*,C,C,SGE,3,3,euroleghe
Batshuayi,A,Pc,SGE,4,3,euroleghe
Geertruida*,D,Dd;Dc,RBL,3,3,euroleghe
Banzuzi,C,M;C,RBL,4,3,euroleghe
Openda,A,Pc,JUV,20,3,euroleghe
Kiwior*,D,Ds;Dc,ARS,3,3,euroleghe
Mings,D,Dc,AVA,3,3,euroleghe
Tzimas,A,Pc,BRH,7,3,euroleghe
Colwill,D,Ds;Dc,CHE,8,3,euroleghe
Lavia,C,M;C,CHE,2,3,euroleghe
Dewsbury-Hall*,C,C;T,CHE,3,3,euroleghe
Gittens,A,W;A,CHE,11,3,euroleghe
Delap,A,Pc,CHE,10,3,euroleghe
Bobb*,A,A,MCI,1,3,euroleghe
Heaven,D,Dc,MUN,3,3,euroleghe
Martinez Lis.,D,Dc,MUN,6,3,euroleghe
Danso,D,Dc,TOT,7,3,euroleghe
Todibo,D,Dc,WHU,7,3,euroleghe
Alvarez E.*,C,M;C,WHU,3,3,euroleghe
Luis Guilherme*,C,W,WHU,1,3,euroleghe
Vesga,C,M;C,ATB,2,3,euroleghe
Galan*,D,Ds;E,ATM,8,3,euroleghe
Johnny Cardoso,C,M;C,ATM,5,3,euroleghe
Gavi,C,C;T,FCB,6,3,euroleghe
Bartra,D,Dc,BET,8,3,euroleghe
Ceballos,C,C;T,MAD,4,3,euroleghe
Mastantuono,C,W;T,MAD,3,3,euroleghe
Suarez D.*,C,C;W;T,VIL,3,3,euroleghe
Akhomach*,C,W,VIL,5,3,euroleghe
Tourè E.*,A,Pc,ATA,3,3,euroleghe
Posch*,D,Dd;Dc,BOL,3,3,euroleghe
Dominguez B.,A,W;A,BOL,3,3,euroleghe
Marì*,D,Dc,FIO,4,3,euroleghe
Fortini,D,E,FIO,1,3,euroleghe
Dzeko*,A,Pc,FIO,9,3,euroleghe
Miretti,C,C;T,JUV,1,3,euroleghe
Estupinan,D,Ds;E,MIL,8,3,euroleghe
Jimenez A.*,D,Dd;Ds;E,MIL,3,3,euroleghe
Juan Jesus,D,Ds;Dc,NAP,1,3,euroleghe
Baldanzi*,C,T;A,ROM,3,3,euroleghe
Echeverri*,C,T,MCI,9,3,euroleghe
Nicolussi Caviglia*,C,M;C,FIO,4,3,euroleghe
Wissa,A,Pc,NEW,20,3,euroleghe
Verdonk,D,B;Ds;E,LIL,1,3,euroleghe
Ebnoutalib,A,Pc,SGE,5,3,euroleghe
Fernandez Th.*,C,W,VIL,3,3,euroleghe
Venturino,C,W,ROM,1,3,euroleghe
Freeman,D,Dd;E,VIL,2,3,euroleghe
Zaragoza,C,W;A,ROM,5,3,euroleghe
Reggiani,D,Dc,DOR,2,3,euroleghe
Alvarez Y.,D,Dc,ATB,1,3,euroleghe
Bodart,P,Por,LIL,1,2,euroleghe
Alexsandro,D,Dc,LIL,9,2,euroleghe
Dier,D,Dc,AMO,7,2,euroleghe
Ouattara K.,D,Ds;E,AMO,4,2,euroleghe
Diatta,C,E;W,AMO,3,2,euroleghe
Pogba,C,C;T,AMO,6,2,euroleghe
Ben Seghir,C,W;T,B04,9,2,euroleghe
Kondogbia,C,M;C,OLM,3,2,euroleghe
Belocian*,D,Ds;Dc,B04,1,2,euroleghe
Lisztes*,A,A,SGE,2,2,euroleghe
Klostermann,D,Dd;Dc,RBL,3,2,euroleghe
Jovanovic,C,W;T,STU,1,2,euroleghe
Norgaard,C,M;C,ARS,6,2,euroleghe
Bogarde,D,Dd;Dc,AVA,2,2,euroleghe
Boscagli,D,Ds;Dc,BRH,6,2,euroleghe
Moran*,C,C;W;T,BRH,2,2,euroleghe
Adarabioyo,D,Dc,CHE,6,2,euroleghe
Badiashile,D,Dc,CHE,2,2,euroleghe
Hato,D,Ds;Dc,CHE,8,2,euroleghe
Essugo,C,M;C,CHE,2,2,euroleghe
Ugochukwu*,C,M;C,CHE,2,2,euroleghe
George*,A,W;A,CHE,1,2,euroleghe
Guiu,A,Pc,CHE,1,2,euroleghe
Bradley,D,Dd;E,LIV,9,2,euroleghe
Tsimikas,D,Ds;E,ROM,4,2,euroleghe
Akè,D,Ds;Dc,MCI,8,2,euroleghe
Ugarte,C,M;C,MUN,7,2,euroleghe
Krafth,D,B;Dd;E,NEW,1,2,euroleghe
Davies B.,D,Ds;Dc,TOT,4,2,euroleghe
Bissouma,C,M;C,TOT,5,2,euroleghe
Scarles,D,Ds;E,WHU,3,2,euroleghe
Rodriguez G.*,C,M;C,WHU,4,2,euroleghe
Ward-Prowse*,C,C;T,WHU,7,2,euroleghe
Lekue,D,Dd;Ds;E,ATB,3,2,euroleghe
Szczesny,P,Por,FCB,5,2,euroleghe
Firpo,D,Ds;E,BET,9,2,euroleghe
Garcia P.,A,A,BET,1,2,euroleghe
Costa L.,D,Dc,VIL,1,2,euroleghe
Foyth,D,Dd;Dc,VIL,7,2,euroleghe
Casale,D,Dc,BOL,1,2,euroleghe
Immobile*,A,Pc,BOL,8,2,euroleghe
Viti*,D,Dc,FIO,2,2,euroleghe
Richardson*,C,M;C,FIO,1,2,euroleghe
Fazzini,C,C;T,FIO,4,2,euroleghe
Sabiri,C,T,FIO,1,2,euroleghe
Beltran L.*,A,A,FIO,2,2,euroleghe
Di Gennaro,P,Por,INT,1,2,euroleghe
Darmian,D,B;Dd;E,INT,2,2,euroleghe
Asllani*,C,M;C,INT,2,2,euroleghe
Esposito Se.*,A,A,INT,2,2,euroleghe
Taremi*,A,Pc,INT,2,2,euroleghe
Rugani,D,Dc,FIO,1,2,euroleghe
Lazzari,D,Dd;E,LAZ,2,2,euroleghe
Rovella,C,M;C,LAZ,3,2,euroleghe
Chukwueze*,C,W,MIL,2,2,euroleghe
Gimenez,A,Pc,MIL,14,2,euroleghe
Simeone*,A,Pc,NAP,2,2,euroleghe
Salah-Eddine*,D,E,ROM,2,2,euroleghe
Bouanani,C,W;T,STU,4,2,euroleghe
Lindelof,D,Dc,AVA,3,2,euroleghe
Mbemba,D,Dc,LIL,8,2,euroleghe
Ambrosino*,A,Pc,NAP,1,2,euroleghe
Arrhov,C,T,SGE,1,2,euroleghe
Arevalo,A,A,STU,2,2,euroleghe
Alleyne,D,Dc,MCI,1,2,euroleghe
Helland,D,Dd;Dc,BOL,2,2,euroleghe
Caillard,P,Por,LIL,1,1,euroleghe
Olmeta*,P,Por,LIL,1,1,euroleghe
Raghouber*,C,M;C,LIL,1,1,euroleghe
Andrè Gomes*,C,C,LIL,2,1,euroleghe
Lienard,P,Por,AMO,1,1,euroleghe
Magassa,D,Dc,WHU,4,1,euroleghe
Salisu,D,Dc,AMO,2,1,euroleghe
Blanco R.*,P,Por,OLM,1,1,euroleghe
De Lange,P,Por,OLM,1,1,euroleghe
Egan-Riley,D,Dd;Dc,OLM,7,1,euroleghe
Garcia U.*,D,B;Ds;E,OLM,6,1,euroleghe
Ounahi*,C,C;T,OLM,1,1,euroleghe
Maupay*,A,Pc,OLM,6,1,euroleghe
Moumbagna*,A,Pc,OLM,1,1,euroleghe
Kimpembe*,D,Dc,PSG,1,1,euroleghe
Lomb,P,Por,B04,1,1,euroleghe
Tape,D,Dc,B04,1,1,euroleghe
Wanner*,C,T,BAY,1,1,euroleghe
Drewes,P,Por,DOR,1,1,euroleghe
Meyer A.,P,Por,DOR,1,1,euroleghe
Sule,D,Dd;Dc,DOR,5,1,euroleghe
Duranville*,A,A,DOR,1,1,euroleghe
Grahl,P,Por,SGE,1,1,euroleghe
Santos K.,P,Por,SGE,1,1,euroleghe
Chandler,D,Dd;E,SGE,1,1,euroleghe
Nkounkou*,D,Ds;E,SGE,1,1,euroleghe
Baum,D,Dd;Ds;E,SGE,1,1,euroleghe
Dina Ebimbe*,C,E;W,SGE,1,1,euroleghe
Zingerle,P,Por,RBL,1,1,euroleghe
Nedeljkovic,D,Dd;E,RBL,7,1,euroleghe
Haidara*,C,M;C,RBL,4,1,euroleghe
Kampl*,C,M;C,RBL,4,1,euroleghe
Maksimovic A.,C,W;T,RBL,4,1,euroleghe
Werner*,A,A,RBL,4,1,euroleghe
Bredlow,P,Por,STU,1,1,euroleghe
Drljaca,P,Por,STU,1,1,euroleghe
Al-Dakhil,D,Dc,STU,2,1,euroleghe
Zagadou,D,Dc,STU,1,1,euroleghe
Stergiou*,D,Dd;Dc,STU,1,1,euroleghe
Stenzel,D,B;Dd;E,STU,1,1,euroleghe
Keitel*,C,M;C,STU,1,1,euroleghe
Darvich,C,W;T,STU,1,1,euroleghe
Diehl,A,A,STU,1,1,euroleghe
Hein*,P,Por,ARS,1,1,euroleghe
Kepa,P,Por,ARS,2,1,euroleghe
Bizot,P,Por,AVA,3,1,euroleghe
Gauci*,P,Por,AVA,1,1,euroleghe
Garcia An.,D,Dd;E,AVA,4,1,euroleghe
Steele,P,Por,BRH,2,1,euroleghe
Coppola D.*,D,Dc,BRH,5,1,euroleghe
Webster,D,Dc,BRH,1,1,euroleghe
Igor,D,Ds;Dc,BRH,3,1,euroleghe
Lamptey*,D,Dd;Ds;E,FIO,6,1,euroleghe
Yalcouyè*,C,C;W,BRH,1,1,euroleghe
March,C,W,BRH,1,1,euroleghe
Buonanotte*,C,W;T,CHE,5,1,euroleghe
Watson T.*,C,W;A,BRH,1,1,euroleghe
Enciso*,C,T;A,BRH,1,1,euroleghe
Slonina,P,Por,CHE,1,1,euroleghe
Endo,C,M;C,LIV,2,1,euroleghe
Morton*,C,M;C,LIV,1,1,euroleghe
Elliott,C,C;W;T,AVA,6,1,euroleghe
Bettinelli,P,Por,MCI,1,1,euroleghe
Ortega*,P,Por,MCI,1,1,euroleghe
Trafford,P,Por,MCI,1,1,euroleghe
Stones,D,Dc,MCI,7,1,euroleghe
Lewis R.,D,Dd;Ds;E,MCI,7,1,euroleghe
Nypan,C,C;T,MCI,1,1,euroleghe
Bayindir,P,Por,MUN,1,1,euroleghe
Heaton,P,Por,MUN,1,1,euroleghe
Fredricson,D,Dc,MUN,1,1,euroleghe
Amass*,D,Ds;E,MUN,1,1,euroleghe
Leon D.,D,Ds;E,MUN,8,1,euroleghe
Collyer*,C,M;C,MUN,1,1,euroleghe
Obi,A,Pc,MUN,1,1,euroleghe
Dubravka*,P,Por,NEW,1,1,euroleghe
Vlachodimos*,P,Por,NEW,1,1,euroleghe
Lascelles*,D,Dc,NEW,1,1,euroleghe
Targett*,D,Ds;E,NEW,1,1,euroleghe
Austin,P,Por,TOT,1,1,euroleghe
Dragusin,D,Dc,TOT,1,1,euroleghe
Takai*,D,Dc,TOT,1,1,euroleghe
Kulusevski,C,W;T,TOT,9,1,euroleghe
Foderingham*,P,Por,WHU,1,1,euroleghe
Kilman,D,Dc,WHU,8,1,euroleghe
Irving*,C,C;T,WHU,1,1,euroleghe
Padilla,P,Por,ATB,1,1,euroleghe
Boiro,D,Ds;E,ATB,3,1,euroleghe
Prados,C,M;C,ATB,4,1,euroleghe
Sannadi,A,Pc,ATB,8,1,euroleghe
Iturbe A.,P,Por,ATM,1,1,euroleghe
Pena I.*,P,Por,FCB,1,1,euroleghe
Ter Stegen*,P,Por,FCB,1,1,euroleghe
Christensen,D,Dc,FCB,2,1,euroleghe
Fort*,D,Dd;Ds;E,FCB,1,1,euroleghe
Adrian,P,Por,BET,2,1,euroleghe
Vieites*,P,Por,BET,1,1,euroleghe
Mendy No.*,D,Dc,BET,1,1,euroleghe
Ortiz A.,D,Dd;E,BET,1,1,euroleghe
Petit*,A,Pc,BET,1,1,euroleghe
Gonzalez Fr.,P,Por,MAD,1,1,euroleghe
Alaba,D,Ds;Dc,MAD,6,1,euroleghe
Mendy F.,D,Ds;E,MAD,7,1,euroleghe
Endrick*,A,Pc,MAD,5,1,euroleghe
Conde,P,Por,VIL,4,1,euroleghe
Kambwala,D,Dd;Dc,VIL,3,1,euroleghe
Rossi F.,P,Por,ATA,1,1,euroleghe
Sportiello,P,Por,ATA,1,1,euroleghe
Bonfanti*,D,Dc,ATA,1,1,euroleghe
Palestra*,D,E,ATA,1,1,euroleghe
Sulemana I.*,C,M;C,BOL,2,1,euroleghe
Ilic M.*,D,Dc,BOL,1,1,euroleghe
Lykogiannis,D,Ds;E,BOL,3,1,euroleghe
Karlsson*,A,W;A,BOL,1,1,euroleghe
Lezzerini,P,Por,FIO,1,1,euroleghe
Martinelli T.*,P,Por,FIO,1,1,euroleghe
Bianco*,C,M;C,FIO,1,1,euroleghe
Pinsoglio,P,Por,JUV,1,1,euroleghe
Savona*,D,B;Dd;E,JUV,1,1,euroleghe
Rouhi*,D,Ds;E,JUV,1,1,euroleghe
Milik,A,Pc,JUV,1,1,euroleghe
Furlanetto,P,Por,LAZ,1,1,euroleghe
Mandas*,P,Por,LAZ,2,1,euroleghe
Gigot,D,Dc,LAZ,3,1,euroleghe
Hysaj,D,Dd;Ds;E,LAZ,1,1,euroleghe
Belahyane,C,M;C,LAZ,1,1,euroleghe
Terracciano,P,Por,MIL,1,1,euroleghe
Torriani,P,Por,MIL,1,1,euroleghe
Terracciano F.*,D,Dd;Ds;E,MIL,1,1,euroleghe
Bondo*,C,M;C,MIL,1,1,euroleghe
Liberali*,C,W;T,MIL,1,1,euroleghe
Okafor*,A,A,MIL,1,1,euroleghe
Contini,P,Por,NAP,1,1,euroleghe
Marianucci*,D,Dc,NAP,2,1,euroleghe
Zanoli*,D,Dd;E,NAP,1,1,euroleghe
Gollini,P,Por,ROM,1,1,euroleghe
Vasquez D.*,P,Por,ROM,1,1,euroleghe
Zelezny,P,Por,ROM,1,1,euroleghe
Kumbulla*,D,Dc,ROM,1,1,euroleghe
Angelino,D,E,ROM,11,1,euroleghe
Godfrey*,D,B;Dd;Ds,ATA,1,1,euroleghe
Leoni,D,Dc,LIV,5,1,euroleghe
Adzic,C,C;T,JUV,1,1,euroleghe
Ulreich,P,Por,BAY,1,1,euroleghe
Campbell C.*,A,A,DOR,1,1,euroleghe
Manè F.,D,Dd;Dc,DOR,1,1,euroleghe
Ziolkowski,D,Dc,ROM,1,1,euroleghe
Odogu,D,Dc,MIL,1,1,euroleghe
Buta A.*,D,Dd;E,SGE,1,1,euroleghe
Fabianski,P,Por,WHU,1,1,euroleghe
Mestre,P,Por,MAD,1,1,euroleghe
McGill,P,Por,BRH,1,1,euroleghe
Diaoune,A,W;A,LIL,2,1,euroleghe
Kosugi,D,Ds;E,SGE,2,1,euroleghe
Alysson,C,W,AVA,2,1,euroleghe
Kouamè*,A,A,FIO,1,1,euroleghe
Christensen O.,P,Por,FIO,1,1,euroleghe
Sani,C,W;A,RBL,1,1,euroleghe
Souza,D,Ds;E,TOT,2,1,euroleghe
Omlin,P,Por,B04,1,1,euroleghe
Przyborek,C,W;T,LAZ,1,1,euroleghe
Oermann,D,Dd;Dc,B04,1,1,euroleghe
Edjouma,A,A,LIL,1,1,euroleghe
Giacomone,P,Por,LAZ,1,1,euroleghe
Pannozzo,P,Por,LAZ,1,1,euroleghe
